今日日期,2024-02-16
公司,職稱,工作內容,薪資
中華資安國際股份有限公司,演算法研發工程師,"此職務將以 機器學習/深度學習之相關資安應用研究與發展為主，人才於團隊需與其他資安專家團隊合作，尋找與設計可用於解決資安實務之演算法模型，並與產品小組合作將演算法模型商品化。

此職務於團隊預計會投入的工作內容包括以下：

1. 研析國內外機器學習",待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,資深數據工程師_資訊處(台北),"《Responsibilities》
1.專案型數據管線開發與管理。
2.專案型數據分析，透過BI工具、機器學習、統計工具等進行處理與分析。
3.數據平台模組的架構設計與交付。
4.數據建模與架構規劃設計與交付。
5.數據品質管理。

《",待遇面議
Ocard_奧理科技股份有限公司,【Ocard顧客經營管家】AI 工程師 (擴編招募中),"與資料視覺化等任務

【必備條件】
● 1-3 年 AI 工程師經驗，具備數據處理與分析能力
● 熟悉 ML/DL 相關知識, 有相關工作成果經驗者佳
● 熟悉 Python 程式語言與機器學習/深度學習常用套件, 如 Pandas, Numpy,",待遇面議
圖靈數位股份有限公司,資料工程師,"行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・",待遇面議
行動貝果有限公司,Machine Learning Engineer 機器學習工程師 [Decanter AI],"＊請至 【https://mobagel.typeform.com/to/ojShbwVv】 投遞履歷，於 104 投遞者恕不受理，謝謝你的協助＊

1. Maintain, develop and optimize the machine learning engine in DecanterAI, our flagship analytic product.
2. Build CI/CD flow to maintain product stability.
3. Co-work with data science team to derive new functionalities.",待遇面議
果實夥伴股份有限公司,資料工程師 Data Engineer,"【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 依據不同業務需求，優化/開發數據資料架構與分析流程
- 依據業務需求產出對應報表資料
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 維",待遇面議
美好證券股份有限公司,科技部_數據工程師 Data Engineer,"Apache Spark、 
 Analytics Tools 等 
• 與數據科學家及產品開發團隊合作，參與統計及機器學習演算產品的開發與佈署
  開發 APIs 支持 Data/AI 產品的生產化與應用整合


你會收穫：
• 接觸價值投資的先進理念",待遇面議
行動貝果有限公司,Machine Learning Engineer 機器學習工程師 [8ndpoint],"＊請至 【https://mobagel.typeform.com/to/ojShbwVv】 投遞履歷，於 104 投遞者恕不受理，謝謝你的協助＊

[About the job]
Our team is looking for experienced engineers to work on exciting technical problems for marketing AI. On the 8ndpoint team, you’ll have the opportunity to own and drive projects that help us scale the platform. As a Machine Learning Engineer, you’ll build out our machine learning platform and machine learning infrastructure, including model hosting, model inference, deep learning, and modeling R&D. You’ll have the full support of engineering to ship greenfield solutions, and you’ll also advise our product managers on how we can best deliver the power of AI to our customers.
MoBagel has an extraordinarily open and relaxed work culture. There’s immense freedom to work on what you think is most important, and generous support for personal development.  We’re a small and rapidly growing team with great work-life balance, generous remote work policy, open and supportive teammates, and free food. Come meet the team!
Since this role is highly cross-functional, there are ample opportunities (and support) for diving into DevOps, MLOps, data engineering, and machine learning modeling projects.

[Responsibility]
1. Architect and build production ML systems, plus monitoring, debugging, and alert systems.
2. Design and build machine learning services and APIs at scale.
3. Develop CI/CD and integration testing pipelines in conjunction with data scientists and data engineers.
4. Evangelize and encourage best software development practices through documentation, code reviews, and sharing.
5. Consult on data infrastructure, data pipeline development, and scalability.","年薪700,000元以上"
和雲行動服務股份有限公司,AI應用/機器學習工程師AI / Machine Learning Engineer (資訊部),"【工作內容】
1. 參與機器學習和深度學習項目的設計、開發和實施。
2. 負責數據探索、特徵工程和模型訓練。
3. 優化和調整模型性能，實現模型自動學習並持續優化，解決實際挑戰。
4. 與跨部門團隊合作，共同推動產品和業務目標的實現。
5. 持續",待遇面議
艾新科環保材料有限公司,演算法工程師,"具財務金融、財務工程、程式交易(Multichart等交易平台)等經驗
3. 熱流相關專業、模擬操作、繪圖與產線自動化","月薪35,000元以上"
(總公司)南山人壽保險股份有限公司,機器學習工程師,"●研發AI應用模型強化金融科技發展。
●著重於推薦預測/OCR/NLP/NLU/SNA Graph圖算法等,以強化客戶滿意/提升流程效率/強化風控管理。
●負責導入low code/no code solutions
●具備實驗設計能力推動Data Driven Decision文化
●負責探詢公司內/外數據，並驗證其價值性進行導入",待遇面議
捷揚航電股份有限公司,AI 工程師,"1.      熟悉C, C++,Python等程式語言。
2.      熟悉深度學習工具。(如Tensorflow, Caffe等)
3.      了解AI/ML深度學習演算法，並有能力針對模型底層進行修改及優化。
4.      熟悉且能",待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,AI算法平台開發工程師_達慧互聯(台達子公司)(台北),延伸性效益，依照客戶實務狀況設計可立即落地的AI數據工程應用，並因應企業體質有效提升短、中、長期數據轉型競爭力，俾使強化數據應用、掌握關鍵設備維護策略、管理製程良率穩定性、優化資產效率、持續改善節能效益及提昇工安監管維度；全方位著眼客戶競爭力與企業,待遇面議
喬美國際網路股份有限公司,數據工程師,"工作內容:
1.	利用資料科學洞察客戶行為數據
2.	執行數據清洗、加工、分群
3.	串接多元數據應用 (如：網路爬蟲、文字探勘、地理資訊系統等)
4.	開發自然語言/文字探勘模型、研發數據標籤與應用

條件 :
1.	良好的溝通與表達能力
2.	熟悉SQL , Python , R
3.	熟悉文字探勘(Text Mining)基礎知識",待遇面議
杰倫智能科技股份有限公司,AI/機器學習研發工程師,"學習，成為用雙手創造改變的優秀研發工程師。我們是新創公司，未來的方向無限寬廣，也歡迎以此職位為起點，將來轉職到會面向客戶的職位喔!

基本要求：
1. 良好的團隊合作與溝通能力
2. 豐富的表格數據分析經驗
3. 能獨力建立模型，並了解各種評估指標的",待遇面議
香港商線上科技銷售服務有限公司台灣分公司,擴編新缺 AI應用【跨境電商物流系統】AI Engineer/ AI 工程師,"描偵測比對，當下且離線模式即能判定照片的有效性，避免重工耗時。
上述實際行為情況或是模型解決方案，根據成本效益、達成效果等仍有討論商量空間。

此職位將是公司第一位AI工程師，前期將獨立一人密切與軟體開發團隊合作，
因此需要過往有紮實AI經驗或是實",待遇面議
阿福股份有限公司,Senior Machine Learning Engineer  資深機器學習工程師,"▍About AlfredCamera

From day one, we’ve been guided by the belief that home security should be made accessible to everyone. We started out by offering a software solution that turns your old phone into a security camera in 2014. Since then, this simple but powerful idea has become the go-to security app for more than 70 millions families worldwide. 

In 2022, we launched our first hardware product, AlfredCam, which opened up an exciting new chapter for us. And 2023 is going to be an even more exhilarating year, as we are taking more proactive actions to respond to our consumers and expanding our presence in more countries. If you want to be a game changer for one of the most trusted brands worldwide, we have the right opportunity for you! 

▍Your Role

As a Machine Learning Engineer specializing in both Computer Vision and Audio, you will play a crucial role in developing cutting-edge solutions for a wide range of applications. Your expertise will be instrumental in creating and implementing machine learning models and algorithms that cover areas such as image classification, object detection, audio classification, audio enhancement, semantic segmentation, image generation, and video analysis.
As part of AlfredCamera's mission to make home security accessible to everyone, you will be a game-changer, driving innovation and contributing to the success of one of the most trusted brands worldwide. Join us in this captivating journey where your expertise will have a significant impact on enhancing the safety and security of millions of families around the globe.

▍Responsibility

• Collaborate closely with esteemed computer vision and audio researchers at AlfredCamera, integrating cutting-edge techniques into solutions that drive innovation in the home security industry.
• Seamlessly weave machine learning models into production systems alongside software engineers, ensuring seamless scalability, real-time performance, and robustness for both computer vision and audio tasks.
• Prepare and meticulously process large-scale datasets to train and evaluate machine learning models, ensuring the highest standards of security for our users.
• Optimize and fine-tune machine learning models to enhance accuracy, efficiency, and adaptability in both computer vision and audio domains, validating their capabilities through rigorous experimentation and performance evaluations.
• Immerse yourself in the latest advancements in computer vision and audio fields, actively contributing to the research community, and exploring uncharted territories of innovation.
• Translate strategic business requirements into actionable machine learning projects, ensuring seamless alignment with customer needs and expectations, and driving the growth and success of AlfredCamera as one of the most trusted and innovative brands globally.","年薪1,200,000~2,000,000元"
杏創生物科技股份有限公司,醫療數據Ai 工程師,"1. 因應未來精準醫療需求，開發次世代定序應用分析技術，建立生物資訊分析流程，協助生物資料庫建置，創造產業新商機。
2. 具備生物資訊資料分析相關經驗，並熟悉Python, R 等開發程式語言。
3. 有機器學習或深度學習相關經驗，或熟悉","月薪40,000~60,000元"
蓋亞資訊有限公司,生成式AI工程師/技術經理 Generative AI Engineer /Manager,"LangChain 架構與開發方式，連接外部工具以及語言模型等相關經驗。(必要)
3.有資料分析與特徵萃取，並且用來評估模型優化方向等相關經驗尤佳。
4.有機器學習及深度學習，並且能夠設計或調整模型等相關經驗尤佳。
5.有FastAPI",待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,AI軟體架構工程師_台達研究院(台北),"本職缺主要工作內容包含但不限於：
(1). 基於商業與工程目標，負責設計與開發串流影像相關之電腦視覺與機器學習系統；
(2). 規劃與建置DataOps Pipeline和MLOps Pipeline的系統； 
(3). 依專案需求研讀平行計算優",待遇面議
雲端行動科技股份有限公司,AI數據工程師,"1.熟悉Python程式開發及應用。
2.熟悉及擅於運用機器學習、研發各類演算法及建模。
3.巨量資料前置處理及分析、轉置並進行模型訓練以達成要求之預測力。
4.AI相關產品或服務之企劃及應用。
5.協助發展行銷科技產品或服務。","年薪600,000~900,000元"
台新金控_台新國際商業銀行股份有限公司,〔金控〕數據中台應用工程師,"工作內容：依個人技能，參與下列1-2項業務內容
1.負責金控視角的客戶360數據模型設計、建置與驗證
2.熟悉新型數據技術（如ML、NLP等）的發展趨勢，規劃中台發展階段性藍圖，與團隊建構數據中台核心框架
3.設計數據中台核心應用模組，執行開發、驗證與部署
4.複製數據中台成功技術案例，協助推動至金控子公司系統環境，加速數據應用價值實現

資格條件：
1.熟悉大數據平台(Hadoop)框架與生態系知識，並有實際專案(如資料管線)的開發經驗
2.瞭解微服務架構，有操作容器化技術與自動化部署的開發經驗
3.具備金融業資料庫設計開發經驗尤佳
4.具備良好的問題解決與協作能力，喜歡研習新技術",待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,AI平台系統開發工程師_達慧互聯(台達子公司)(台北),延伸性效益，依照客戶實務狀況設計可立即落地的AI數據工程應用，並因應企業體質有效提升短、中、長期數據轉型競爭力，俾使強化數據應用、掌握關鍵設備維護策略、管理製程良率穩定性、優化資產效率、持續改善節能效益及提昇工安監管維度；全方位著眼客戶競爭力與企業,待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,資料科學家(AI Data scientist)/資料工程師(AI data Engineer)(SCA)_DSM先進運營技術(台北/中科),"1.	以機器學習、深度學習、統計與作業研究等技術，分析內外部客戶資料，提供合適的解決方案
2.	研究與開發人工智慧之演算法、應用和服務
3.	設計、協助及管理資料分析及最佳化專案、培訓等業務推動
4.	針對台達工廠製程相關數據進行分析技術研究與開",待遇面議
樂居科技股份有限公司,數據工程師 Data Engineer (python),"樂居持續開發新功能中，邀請優秀的數據工程師加入我們！

# 主要工作內容
* 數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程
* 數據串接 - 協助串接內外部資料，應用資料
* 數據分析 - 資料準備、分析應用
* 網站開發 - 協助更新",待遇面議
中華資安國際股份有限公司,【2024年研發替代役】演算法研發工程師,"此職務將以 機器學習/深度學習之相關資安應用研究與發展為主，人才於團隊需與其他資安專家團隊合作，尋找與設計可用於解決資安實務之演算法模型，並與產品小組合作將演算法模型商品化。

此職務於團隊預計會投入的工作內容包括以下：

1. 研析國內外機器學習",待遇面議
華碩電腦股份有限公司,RD20317 機器學習工程師,"1. 研究統計模型、機器學習及深度學習模型概念與技術，並運用於專案研發與分析預測。 
2. 清整數據並進行特徵工程以優化AI模型效能。 
3. 將開發完成的ML/AI系統部署至特定平台以實現內部或外部使用者需求。 
4. 清楚闡述專案核心概",待遇面議
POSITIVE GRID_佳格數位科技有限公司,【機器學習工程師】Machine Learning Engineer,".Positive Grid is devoted to creating cutting-edge technologies to revolutionize the world’s music production. Machine learning team is looking for a proactive, good-communicator and hardworking ML engineer to advance the technologies of guitar/music production. Our projects involve music generation, guitar amp modeling and other machine learning based technologies to extend the Positive Grid’s guitar music creation ecosystem.

【Typical Accountabilities】
- Study Music Generation, Virtual Analog (VA) Modeling (e.g., Amp/Pedal Modeling), Tone -Transfer, and Guitar Tablature Transcription (GTT), guitar/audio relevant machine learning topics
- Cooperate with DSP engineers and product team to develop cutting-edge technology for solving music-related problems
- Develop real-time machine learning inference cross-platform library
- Cooperate with application engineers to integrate machine learning based library",待遇面議
灼見運動數據有限公司,電腦視覺/影像處理演算法工程師,"• 樂於團隊合作並提出想法、討論和溝通
• 有影像處理，電腦視覺相關知識，並能解讀和評估相關專利與論文的能力尤佳，或具備興趣學習者
• 具備C#程式和Python程式的撰寫能力
• 曾開發完成過OpenCV相關的影像專案","月薪60,000~110,000元"
台泥企業團_臺泥資訊股份有限公司,生成式AI工程師,"1. 發展運用以ChatGPT等AI工具的工作方法，提升程式開發的生產力，落實於企業團各項重大軟體專案
2. 機器學習、深度學習或其他相關演算法開發
3. 研究AI各領域最新技術發展",待遇面議
禾多移動多媒體股份有限公司,資料探勘工程師,"工作內涵：

1. 擷取、管理、處理(各產品結構與非結構資料)數據，把龐雜的巨量資料整理出脈絡、洞察商機。

工作內容：

1. 擷取、管理、處理數據。
2. 整理龐雜的巨量資料(各產品結構與非結構資料等)，以洞察商機。


工作技能：

1. 精通 python
2. 熟悉統計理論與資料探勘技術
3. 有應用資料科學於實務問題之熱忱
4. 良好的溝通與表達能力，與團隊溝通合作

加分條件 :

1. 具有 Data-driven 思維必具備實驗精神且熟悉 A/B Testing。
2. 熟悉 Google Analytics 等數據分析平台或工具。 
3. 熟悉 SQL 語法，擁有從關聯式資料庫查詢資料的經驗。
4. 有使用過GCP, AWS 等雲端服務經驗
5. 熟悉Linux 系統操作","年薪650,000~900,000元"
神準科技股份有限公司,(1660) Camera AI 演算法開發工程師-南港,"1.Camera ISP影像處理及3A演算法調適.		
2.Computer Vision (CV)電腦視覺演算法開發.			
3.Artificial intelligence (AI) 機器學習演算法開發.			
4.3rd party AI",待遇面議
資策會_財團法人資訊工業策進會,【數位院】人工智慧應用軟體開發工程師,"1.住商節能技術演算法開發，並於住商能源產業實際應用
2.模型專案實作開發，包含數據清洗、特徵工程、模型建置與參數優化等
3.有能力獨立展開研究，解決挑戰性的問題
4.熟悉如何處理、整理訓練資料集",待遇面議
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,【2024研發替代役暨預聘】AI影像分析及應用工程師(ARC)_DSM先進運營技術(台北),"本職缺主要工作內容:
1.	研究與開發人工智慧之AOI影像分析演算法，提供合適的解決方案
2.	與內外部平台的功能介接及整合、程式撰寫、測試修改、後續修訂
3.	熟悉內部使用工具，並團隊相關進度追蹤及討論會議
4.	研究並引入新技術或工具，持續改良及優化工作效率。",待遇面議
東捷資訊服務股份有限公司,AI人工智慧研發工程師,"工作內容：
1.使用 python 語言開發人工智慧演算法相關領域
2.與團隊成員合作，驗證各種深度學習演算法模型
3.有能力獨立展開研究，解決挑戰性的問題
4.熟悉如何處理、整理訓練資料集",待遇面議
國家資通安全研究院,【威脅分析中心】資安資料分析工程師,"1.骨幹網路資安資料分析
2.政府資安監控情資分析
3.資料數據機器學習應用
4.資安自動化分析系統維運
5.其他主管之交辦事項
專業能力：具程式能力尤佳",待遇面議
威倫電子股份有限公司,AI應用工程師,"，通過深度學習和機器學習技術，協助實現更精准的預測和分析。

【職責】
•	AI工具推廣：協助團隊更深入理解和使用AI工具，通過培訓和支持，確保團隊充分利用AI技術，提升工作效率。
•	工作流程自動化：瞭解業務流程並以自動化方式優化流程，提高效率和","月薪50,000~100,000元"
眾匯智能健康股份有限公司,AI工程師,"1.機器學習及深度學習演算法程式撰寫(NLP優先)
2.生成式AI(Gen AI)之導入研究及實務運用
3.參與各項智能醫療產品之開發計劃
4.嶄新團隊，可參與大學產學合作、政府計畫及創業競賽等計畫",待遇面議
德律科技股份有限公司,R2: AXI 演算法研發工程師-241,"1. 影像處理、電腦視覺、機器學習演算法設計、數值最佳化演算法設計開發。Image Processing、Computer vision,、Object detection and recognition、 Optimization",待遇面議
台中商業銀行股份有限公司,資訊部門-機器學習工程師(台北地區),"1.參與機器學習專案開發、資料科學相關研發任務並應用於金融場景。 
2.利用機器學習模型來優化公司內部流程、提升服務品質。","月薪38,000~65,000元"
關貿網路股份有限公司,AI工程師,"1.以AI演算法進行模型開發
2.AI模型調校及優化",待遇面議
禾多移動多媒體股份有限公司,演算法工程師,"【工作內容】
1.使用資料科學技術剖析數據，協助產品成效優化及發展方向
2.定義資料收集與後續分析需求，建構所需要的資料處理流程並協同公司資料團隊進行資料處理(清洗、ETL、標籤、特徵提取等)
3.依據資料處理與分析需求建構模型，視實際情況調整並優化模型與流程進行數據追蹤和分析，資料優化與分析報表視覺化的追蹤
【必要條件】
1. 良好的溝通與表達能力，與團隊溝通合作
2. 熟悉 ML.DL 相關知識
3. 熟悉Python程式語言
4. 熟悉Linux 系統操作
5. 熟悉資料庫程式語言 SQL
【加分條件】
1. 推薦系統處理專案經驗佳
2. 自然語言處理專案經驗佳
3. 影像處理專案經驗佳
4. 曾參與ML相關研究、競賽或發表論文經驗佳
5. 熟悉 Google Analytics 等數據分析平台或工具。
6. 有使用過GCP, AWS 等雲端服務經驗佳 

大學畢業年薪1,000,000元 ~ 1,100,000元
研究所以上畢業年薪1,100,000元 ~ 1,200,000元","年薪1,000,000~1,200,000元"
國泰金控_國泰金融控股股份有限公司,"資料科學工程師 Machine Learning Engineer  - 人工智慧科技 (數數發中心, DDT)_I00016271","## 工作內容

1. 與資料科學家及專案經理緊密合作，共同設計和開發機器學習模型；
2. 將從資料科學家那裡獲得的原型轉化為可擴展、高效的生產級系統或服務；
3. 協助進行數據預處理、清理和分析，確保模型的質量和準確性；
4. 優化現有模型，",待遇面議
Taiwan AI Labs_雅婷智慧股份有限公司,NLP Engineer 自然語言處理工程師,"【About the Role】
- Investigate and implement state-of-the-art approaches of text generation, question answering, and machine translation.
- Establish and maintain automated pipelines for model inference, data analysis and online learning.
- Develop and maintain a real-time news and public opinion analysis system.
- Conduct text and network analysis on various social media platforms for opinion leader mining and community detection.


【Minimum qualifications】
- Experience in machine learning, data mining and natural language processing.
- Experience adapting pre-trained language models such as BERT, GPT-2, and T5.
- Experience programming in C++, Python or related language.


【Preferred qualifications】
- Familiar with knowledge distillation like teacher-student learning paradigm.
- Familiar with ElasticSearch, passage retrieval and contrastive learning.
- Familiar with sequence to sequence learning and controllable sequence generation.",待遇面議
沛然資訊有限公司,量化策略與金融大數據工程師,"1. 量化交易相關資料庫的維運。
2. 量化交易系統新介面、新功能模組的開發及維運。
3. 投資策略因子分析，包括找尋新因子、建構策略。
4. 協助維護公司量化交易系統，包括交易策略、風險控制、交易盈虧計算 。",待遇面議
台灣萬和科技有限公司,Senior Software Algorithm Engineer (Computer Vision/AI) 高級AI算法工程師(視覺圖像),"等；
3、能夠獨立支撐產品的算法開發，同公司前台產品開發部門和測試部門等工程部門密切溝通合作，參與項目的數據清洗、算法設計實現、性能優化、實施部署、使用者反應跟踪的全方位研發工作。

工作要求
1、碩士及以上學歷，博士尤佳，主修資訊工程、機器學習、","年薪1,600,000~3,000,000元"
宏成半導體科技股份有限公司,AI工程師(在家連線至公司電腦),"小型GPT 模型建立, 及訓練",待遇面議
所羅門股份有限公司,視覺事業處_AI工程師(Python)_(VBU),"，採用先進的深度學習技術，像是為機器人裝上眼睛與大腦，賦予機器人感知能力，能成功辨識物件與位置，讓機器人做到過去難以達成的任務，為工廠帶來全新應用體驗。
自主研發產品：AI驅動AR裝置（穿戴式 / 攜帶式 AI裝置）、深度學習視覺軟體 （",待遇面議
夏酷科技股份有限公司,Data Engineer 數據工程師,"Python 程式處理能力
2. ETL 排程工具開發經驗，如：Dataflow、等
3. 熟悉雲端環境，如：GCP、Azure、AWS等。
4. 樂於學習新技術，積極肯做的工作態度。
5. 具備Git 版控使用經驗
6. Docker or",待遇面議
未來市股份有限公司,"【Studio】機器學習工程師, 應用於AI虚擬人","我們正在尋找對機器學習應用於虛擬人領域充滿熱情和專業知識的人才。我們的目標是基於電腦視覺技術，開發並優化「虛擬人的即時呈現真人表演」之演算法，包括但不限於以下項目：
●	全身動作呈現
●	手勢呈現
●	人臉表情呈現

這份工作需要您對機器學習、電",待遇面議
杰倫智能科技股份有限公司,網頁前端開發工程師 (AI/機器學習平台),本公司是由一群曾任職國際軟體大廠與高科技製造業十多年的專家所創立。我們非常熟悉企業營運系統、物聯網應用、以及設備/信息/自動化/工廠管理等相關技術，希望運用過去累積的企業與工廠管理及物聯網應用經驗，搭配自主研發的AI機器學習技術平台，協助企業以合,待遇面議
邁達特數位股份有限公司,AI 工程師/機器學習工程師/資料科學家/數據應用分析師【產品五處/台北】,"1.負責資料收集、資料清理、模型建置、數據視覺化報表產出					
2.使用資料科學技術剖析數據，協助產品成效優化及發展方向					
3.協助社群網路輿情分析及文字探勘，進行關鍵字擷取、文本分類等 NLP 任務					
4.熟悉 Python/ML 相關知識，包含 Pandas, Numpy, Sklearn, Tensorflow, PyTorch 等模組					
5.熟悉資料庫程式語言 SQL					
6.加分：有使用過 Azure 等雲端服務經驗					
7.加分：具推薦系統處理專案/自然語言處理專案經驗",待遇面議
殷富資訊股份有限公司,EIS| 數據工程師,"並具備使用其語言開發實際分析經驗。
4. 可視化分析結果，並協同前端、後端工程師進行網頁設計與開發。",待遇面議
富邦媒體科技股份有限公司(富邦momo),D4000 資深機器學習工程師,作為廣告引擎的資深機器學習工程師，您的主要職責是利用先進的機器學習技術來提升廣告系統的效能和智能化。設計、開發和實施機器學習模型，以提高廣告的目標達成率、點擊率和轉化率。將機器學習模型無縫整合進現有的廣告系統架構中，確保模型的高效運行與穩定性。與,待遇面議
中國信託商業銀行股份有限公司,科技金融_資料科學家/深度學習演算法工程師(電腦視覺/應屆畢業可),"1.進行深度學習算法研發來解決金融業場景問題 
2.既有核心模型依專案需求進行模型架構微調與訓練優化 
3.應用電腦視覺相關之深度學習演算法經驗協助完成行內專案: 研究與評估最新算法，將創新研究的理論結合至專案中 
4.視專案需求執行可行性與效度",待遇面議
飛捷科技股份有限公司,(M05)資深 AI 演算法工程師,"負責人工智慧學習演算法開發包含：
1. 規劃演算法架構
2. 演算法實作及驗證
3. 進行演算法精確度及效能分析
4. 疊代式調整演算法以達成客戶需求",待遇面議
POSITIVE GRID_佳格數位科技有限公司,【音訊處理工程師實習生】DSP Engineer Intern,"Positive Grid is devoted to creating cutting-edge technologies to revolutionize the world’s music production. We are looking for a DSP intern engineer to join the DSP Team to develop audio effects, MIR(music information retrieval), and computational audio topics in the future.

【Typical Accountabilities】
- Collecting and researching the latest technology related to MIR (Music Information Retrieval), Computational Audio, or Audio Post-Processing(Audio Enhance, Mixing/Mastering…etc).
- Demo and apply MIR, Computational Audio and Audio Post-Processing technologies in our products.",待遇面議
博弘雲端科技股份有限公司,DATA_(資深)資料工程師,"【工作內容】
1. 將概念性想法設計規劃為可執行的解決方案
2. 大數據專案的規劃，數據接入、清洗、建模與可視化的設計
3. 與機器學習工程師、雲端架構師、PM密切合作共同合作完成專案,供客戶高質量的雲端數據相關服務
4. 負責協助客戶整合、設計",待遇面議
創造智能科技股份有限公司,前端工程師,"1. 與UI、UX、後端協作開發網頁應用與維護。
2. 維護並優化頁面效能及使用者操作流程與體驗。
3. 熟悉前端建置與佈署，透過API 串接與後端程式溝通。
4. 解決瀏覽器的相容性問題。

必備技能： 
對於 Git 和 linux 等開發環境及透過 API 與 Server 介接服務駕輕就熟，並熟悉:
1. HTML, CSS, Javascript, Ajax, jQuery
2. 響應式網頁設計(Responsive Web Design)
3. Vue.js 與Node.js
4. Web 效能優化( 前端設計和開發流程)",待遇面議
北祥科技服務股份有限公司,AI/大數據工程師,"1.負責協助客戶AI解決方案，特別在圖像識別，語義理解，文字探勘方面
2.深度學習演算法研究與設計，熟悉深度神經網路的常用模型（CNN、RCNN、VGGNet、ResNet、GCN、GAN、GNN等）
3.自然語言處理 end-to-end",待遇面議
安富科技股份有限公司,[台北]音訊演算法工程師,"機器學習演算法架構，如 DNN、CNN、RNN、LSTM等，來實現不同音訊處理演算法應用。
利用Python等模擬開發環境，規劃、設計與驗證音訊處理演算法。
協助建立音訊資料庫，並完成資料建模。",待遇面議
元富證券股份有限公司,6S元富證券-軟體工程師(期貨自營交易系統),"1.期貨/現貨/選擇權交易程式開發
2.海內外策略交易程式開發
3.相關程式日常維運",待遇面議
大數據股份有限公司,資深後端工程師 / Senior Back-End Developer,"【加分條件】
- 有機器學習、深度學習或統計模型經驗
- 熟悉NLP(自然語言處理)，Deep Learning演算法，具備Big Data分析經驗尤佳
- 熟悉Docker容器使用與Docker Compose
- 熟悉一套容器調度工具，",待遇面議
一騰資訊服務股份有限公司,Python/MongoDB 開發工程師 - 金融Fintech專案,"，踏入金融產業的好跳板，獲得更多銀行微服務業務邏輯的經驗
● 學習微服務架構，使個人的技術快速成長，接觸金融界最新的技術",待遇面議
飛捷科技股份有限公司,(A11)影像演算法工程師,"1. 開發ROS應用(AMR/Robots)
2. 感測器融合與機器人定位
3. 設計路徑規劃演算法、演算法驗證
4. 分析產品應用
5. 版本控制與技術文件協助建立SOP
6. 部屬程式、協助實體機器測試

*薪資與職稱依學經歷核定",待遇面議
華城電機股份有限公司,(台北)全端工程師 (儲能中心),"熟悉或使用MEVN架構 (Node.js、ExpressJs、MongoDB、Vue.js)
熟悉或使用Python、R、MATLAB等
了解至少一種機器學習或資料分析工具或套件與模型建置基礎流程：Scikit-learn、Keras、",待遇面議
禾多移動多媒體股份有限公司,人工智慧系統開發工程師,"【工作內容】
使用資料科學技術剖析數據，協助產品成效優化及發展方向
資料收集、資料清理、模型建置、等工作事項
系統建置及優化
協助研發軟體部分功能與新技術
進行建模與算法實現，並實現自動化與服務化

【必要條件】
1. 良好的溝通與表達能力，與團隊溝通合作
2. 熟悉 ML.DL 相關知識
3. 熟悉Python程式語言
4. 熟悉Linux 系統操作
5. 熟悉資料庫程式語言 SQL

【加分條件】
1. 推薦系統處理專案經驗佳
2. 自然語言處理專案經驗佳
3. 影像處理專案經驗佳
4. 曾參與ML相關研究、競賽或發表論文經驗佳
5. 熟悉 Google Analytics 等數據分析平台或工具。
6. 有使用過GCP, AWS 等雲端服務經驗佳

具有以上條件者佳，若有部份相關條件也歡迎投履歷！","年薪650,000~900,000元"
大云永續科技股份有限公司,AI工程師(台北),"1.	演算法設計、實作及相關程式撰寫。
2.	AI模型訓練、微調、驗證及發佈。
3.	與系統後端進行資料串接及測試。
4.	持續關注如自然語言處理、影像處理及生成式AI技術。",待遇面議
喬山健康科技股份有限公司,總部研發-資深AI演算法工程師(台北內湖區),"1. 開發深度學習演算法建立於跨平台作業環境。
2. 設計/開發/測試/升級/部署，與深度學習相關的專案與產品。
3. 跨部門合作，了解專案需求，包含功能、程序或合規的需求。
4. 研究影像辨識演算法，編譯成SDK。
5. AI系統平台與功能架構",待遇面議
玉山銀行_玉山商業銀行股份有限公司,【儲備幹部】科技儲備幹部(TMA)_軟體工程_機器學習_資訊安全,"以資訊科技加上管理能力的雙軌發展，造就頂尖專家團隊
【專業領域】
1. Fintech：參與全行資訊系統整體發展，以創新技術進行解決方案的設計與規劃，成為專案管理及架構專家。
2. AI-Big Data：透過機器學習演算法解決問題、統籌系統架構",待遇面議
資策會_財團法人資訊工業策進會,【數轉院/跨域實證服務中心】資訊處理工讀生,"1.與部門後端工程師及產品經理協作，協助數據相關專案實作。
2.協助整合及串接不同開放服務API
3.協助部門資料整理/資料分析
4.公開資料查找",待遇面議
